Age,Credit Score,Annual Income,PriorDefault,Employed,Approval,Gender
33.541537453415174,678.0,53.98488094431348,0,1,No,Male
24.80833495502121,624.0,41.13116024265063,1,0,No,Male
23.342078309424345,671.0,33.01229840003138,1,1,No,Female
29.987969539269585,671.0,66.94223225204232,1,1,No,Female
29.70744303308653,630.0,116.6134684644543,1,1,No,Male
43.45092352851275,697.0,101.6368701542303,0,1,Yes,Female
53.8947167956029,687.0,106.13983482518702,0,1,Yes,Male
31.87931874311981,735.0,92.98783845365101,0,1,No,Male
35.354911794008004,745.0,99.74134238126182,0,0,Yes,Female
31.81772608592181,672.0,71.73370872430223,1,1,Yes,Male
38.15791068673356,783.0,61.4978039344802,0,0,No,Female
38.88436185268217,778.0,105.94498839246721,0,0,No,Female
31.15499901961006,626.0,113.27812388757442,1,1,Yes,Female
33.26015138106767,730.0,54.55647571077637,0,1,Yes,Female
31.295364551695066,718.0,96.37584111937875,0,0,No,Male
47.953323627695276,719.0,87.94019333831767,0,1,Yes,Male
35.60638555895348,611.0,83.88977969300595,1,1,No,Male
42.4323052106726,699.0,85.99700955643837,0,0,Yes,Male
25.103783645589704,709.0,43.25779326896456,0,1,Yes,Female
41.78403331967785,731.0,64.6206650819096,0,1,Yes,Male
35.329442999848226,734.0,102.23321603064026,0,1,Yes,Female
52.931716844362334,770.0,78.80164656766155,0,1,Yes,Male
35.90558535259218,746.0,55.96492824961682,0,1,Yes,Female
48.157867367093054,740.0,67.61831000556177,0,1,Yes,Female
26.111799156423125,774.0,76.40924249970769,0,1,Yes,Female
28.201263738997913,679.0,52.00739136564033,0,1,No,Male
36.01235833547018,620.0,103.16888115922009,1,0,No,Female
29.232254298843312,750.0,48.54018662381618,0,1,Yes,Male
48.32574972714421,723.0,93.36693302545454,0,1,Yes,Male
34.91391375050166,670.0,63.95674044730524,1,0,No,Male
30.907737045115184,746.0,61.71290077677631,0,1,Yes,Female
33.02651330669923,724.0,105.31913902408908,0,1,Yes,Male
32.45747086771762,710.0,59.33884748771712,0,0,Yes,Female
37.44277529656056,669.0,107.01815947770766,1,1,No,Others
